n_sq_vo,NOM_ENTIER,TYPE,NOM,WKT,id_propre,date_nom,date_fin
750005745,Galerie d'Orléans,GALERIE,ORLEANS,"LINESTRING (2.33683971035187 48.8641170076829,2.33687489049147 48.863995317772,2.3375831432963 48.8638368152967,2.33764112513816 48.8637357096849)",750605840,1829,2020
750005748,Rue de la Paix,RUE,PAIX,"LINESTRING (2.33178515963635 48.869825966067,2.33209697948252 48.8701393516357,2.33220602410674 48.8702492562007)",750603585,1814,2020
750005752,Rue de Montmorency,RUE,MONTMORENCY,"LINESTRING (2.34116056441538 48.8700066939049,2.34117242710043 48.8700477008145,2.34124660788251 48.8703103758748,2.3412594252027 48.8703547092841)",750603442,1782,1867
750005752,Rue des Panoramas,RUE,PANORAMAS,"LINESTRING (2.34116056441538 48.8700066939049,2.34117242710043 48.8700477008145,2.34124660788251 48.8703103758748,2.3412594252027 48.8703547092841)",750603442,1867,2020
750005760,Passage Hulot,PASSAGE,HULOT,"LINESTRING (2.33715625032891 48.8655211518183,2.33685482186932 48.8655862251478,2.33681120415498 48.8655834733886)",750605005,1787,2020
750005767,Galerie du Jardin,GALERIE,JARDIN,"LINESTRING (2.33683971035187 48.8641170076829,2.33788911423863 48.8638795815976)",750605777,1781,2020
750005781,Rue Lulli,RUE,LULLI,"LINESTRING (2.33709648493339 48.8678535655174,2.33711011620576 48.8678962806857,2.33727628413263 48.8682173212229,2.3372983665815 48.8682601263167)",750604187,1797,2020
750005784,Rue du Mail,RUE,MAIL,"LINESTRING (2.3412877020101 48.8662814424006,2.3413024256905 48.8663079704533,2.34134599191701 48.8663271504071,2.34141883665609 48.8663439633997,2.34149713592634 48.8663836092315,2.3438507185212 48.8672973062886,2.34396692892011 48.867337739258)",750604701,1633,2020
750005791,Rue de Marengo,RUE,MARENGO,"LINESTRING (2.3391234603096 48.8614779470813,2.33946586717133 48.8621353174804)",750606769,1854,2020
750005804,Cour des Fermes,COUR,FERMES,"LINESTRING (2.3421396138637 48.8634719791646,2.34105863121948 48.8637236446419)",750605933,1891,2020
750005806,Galerie Feydeau,GALERIE,FEYDEAU,"LINESTRING (2.3412594252027 48.8703547092841,2.34128069565089 48.8703982339374,2.34142210388803 48.8709119834533,2.34142551352114 48.8709234130464)",750603319,1834,2020
750005832,Rue Hérold,RUE,HEROLD,"LINESTRING (2.34084320204572 48.864558180195,2.34089431776754 48.8645834473342,2.34121123891708 48.8647381107012,2.34140370860872 48.8648368515175,2.34161417264053 48.8649327861166,2.34193532271639 48.8650913127605,2.34242441484688 48.8653558642125,2.34254619862896 48.8654219453256)",750605435,1881,2020
750005832,Rue d'Argout,RUE,ARGOUT,"LINESTRING (2.34084320204572 48.864558180195,2.34089431776754 48.8645834473342,2.34121123891708 48.8647381107012,2.34140370860872 48.8648368515175,2.34161417264053 48.8649327861166,2.34193532271639 48.8650913127605,2.34242441484688 48.8653558642125,2.34254619862896 48.8654219453256)",750605435,1867,1881
750005832,Rue des Vieux-Augustins,RUE,VIEUX AUGUSTINS,"LINESTRING (2.34084320204572 48.864558180195,2.34089431776754 48.8645834473342,2.34121123891708 48.8647381107012,2.34140370860872 48.8648368515175,2.34161417264053 48.8649327861166,2.34193532271639 48.8650913127605,2.34242441484688 48.8653558642125,2.34254619862896 48.8654219453256)",750605435,1300,1867
750005837,Passage Colbert,PASSAGE,COLBERT,"LINESTRING (2.33928484603232 48.8661970771287,2.33924211474138 48.8662364843341,2.33928695018956 48.8663202953506,2.3391158303852 48.8663615765964)",750604743,1828,2020
750005838,Rue Colbert,RUE,COLBERT,"LINESTRING (2.33952885614804 48.8679081117203,2.33946151940702 48.8679229516123,2.3382517464401 48.8681914104694,2.33819217680234 48.8682046315039)",750604169,1683,2020
750005845,Rue Saint-Augustin,RUE,SAINT AUGUSTIN,"LINESTRING (2.33976323804754 48.8689589980931,2.33956121395079 48.8688967741124,2.33951950097868 48.8688840952418,2.33861981670892 48.8688857346901,2.33854484200067 48.8688858258079)",750603849,1633,1881
750005845,Rue des Filles Saint-Thomas,RUE,FILLES SAINT THOMAS,"LINESTRING (2.33976323804754 48.8689589980931,2.33956121395079 48.8688967741124,2.33951950097868 48.8688840952418,2.33861981670892 48.8688857346901,2.33854484200067 48.8688858258079)",750603849,1881,2020
750005858,Carrefour Gaillon,CARREFOUR,GAILLON,"LINESTRING (2.33442226991555 48.8688818159782,2.33437931206382 48.8689583351042,2.33421552886108 48.8689617581039)",750619317,1844,1936
750005859,Rue Gaillon,RUE,GAILLON,"LINESTRING (2.33361169639232 48.8676556736203,2.33368119269755 48.8678017443523,2.33379627846939 48.8678473045162,2.33391874443332 48.8680430168896,2.33421083432196 48.8685742239799,2.33431646694984 48.8687753038716,2.33433037897141 48.8688846469148)",750604241,1578,2020
750005866,Passage des Deux Pavillons,PASSAGE,DEUX PAVILLONS,"LINESTRING (2.33928484603232 48.8661970771287,2.33904934237534 48.8661173530551,2.33899281478346 48.86610213873,2.33889492977252 48.8660521134344)",750604810,1820,2020
750005878,Rue Coq Héron,RUE,HERON,"LINESTRING (2.34181091657118 48.8641076024824,2.341929037241 48.8641053300633,2.34200054583506 48.8641512886052,2.3426602633178 48.8644884021259)",750605665,1543,2020
750005884,Passage de la Cour des Fontaines,PASSAGE,COUR DES FONTAINES,"LINESTRING (2.33747810489729 48.8634220261833,2.33783849691863 48.8633313843811)",750605984,1781,2020
750005885,Galerie de la Cour d'Honneur,GALERIE,COUR HONNEUR,"LINESTRING (2.33674470763479 48.8639204893143,2.33674787041022 48.8639160739623,2.33760799026852 48.863721141245,2.33764112513816 48.8637357096849)",750605848,1781,2020
750005890,Rue du Croissant,RUE,CROISSANT,"LINESTRING (2.34402643739674 48.8689308304944,2.34328784502718 48.8691192811772,2.34315214460895 48.8691417800442)",750603952,1612,2020
750005894,Rue Dalayrac,RUE,DALAYRAC,"LINESTRING (2.33477837191547 48.8675700132618,2.33483029285482 48.8675785578022,2.33504498596584 48.8675310782804,2.33507742815041 48.8675323377289,2.33509951024716 48.867551403284,2.33511654890821 48.8675808992876,2.33534485689287 48.8680159711689,2.33535768280757 48.8680451973099,2.3353593044587 48.8680705660021,2.3353500347296 48.8680927687799,2.33532617880611 48.868110664541,2.33515237720357 48.8681567052208,2.33510712004455 48.868189528971)",750604282,1829,2020
750005896,Rue des Petits Champs,RUE,PETITS CHAMPS,"LINESTRING (2.33367532276686 48.8675161169086,2.33273293529338 48.8677282050574)",750604289,1700,1944
750005910,Rue Chérubini,RUE,CHERUBINI,"LINESTRING (2.3370138787182 48.8676836932307,2.33695076596261 48.867698441796,2.33632031907367 48.8678452036224,2.33626572507254 48.8678578928004)",750604230,1838,2020
