Geometry X Y;Geometry;N_SQ_AD;N_VOIE;C_SUF1;C_SUF2;C_SUF3;C_AR;A_NVOIE;B_ANGLE;B_OFFSTDF;B_AFFSTDF;B_HORS75;L_NVOIE;L_ADR;N_SQ_AR;N_SQ_VO;OBJECTID
48.8649228482, 2.33500110358;"{""type"": ""Point"", ""coordinates"": [2.335001103577982, 48.86492284824692]}";750001629;12;;;;1;285.95001221;O;O;;N;12;12 AV DE L'OPERA;750000001;750005929;16428
48.8709429003, 2.33686460797;"{""type"": ""Point"", ""coordinates"": [2.336864607972633, 48.87094290029026]}";750004192;25;;;;2;85.51999664;N;O;;N;25;25 RUE DE GRAMONT;750000002;750005807;14603
48.8685121063, 2.33662142881;"{""type"": ""Point"", ""coordinates"": [2.336621428809567, 48.86851210633075]}";750005811;62;;;;2;254.30999756;O;O;;N;62;62 RUE SAINTE-ANNE;750000002;750005530;41220
48.8690423843, 2.33407053816;"{""type"": ""Point"", ""coordinates"": [2.334070538161, 48.86904238431302]}";750005349;1;;;;2;98.56999969;O;O;;N;1;1 RUE DE PORT-MAHON;750000002;750005620;41470
48.8680230571, 2.33920042893;"{""type"": ""Point"", ""coordinates"": [2.339200428931511, 48.86802305707355]}";750003913;2;;;;2;341.29000854;O;O;;N;2;2 RUE COLBERT;750000002;750005838;37843
48.8624472338, 2.34144861282;"{""type"": ""Point"", ""coordinates"": [2.341448612818037, 48.8624472337767]}";750001133;11;;;;1;71.12000275;N;O;;N;11;11 RUE DU LOUVRE;750000001;750005478;37872
48.8672392653, 2.33518498989;"{""type"": ""Point"", ""coordinates"": [2.335184989891132, 48.86723926525168]}";750003749;2;;;;2;249.22999573;O;O;;N;2;2 PAS CHOISEUL;750000002;750005911;37395
48.8643196058, 2.33646936012;"{""type"": ""Point"", ""coordinates"": [2.336469360119812, 48.86431960575624]}";750001509;9;;;;1;71.73000336;N;O;;N;9;9 RUE DE MONTPENSIER;750000001;750005684;37660
48.8641269095, 2.34023307761;"{""type"": ""Point"", ""coordinates"": [2.340233077607554, 48.86412690948519]}";750000550;32;;;;1;250.58999634;N;O;;N;32;32 RUE CROIX DES PETITS CHAMPS;750000001;750005891;38012
48.8650702002, 2.33382501418;"{""type"": ""Point"", ""coordinates"": [2.333825014181593, 48.86507020015639]}";750000087;13;;;;1;89.66999817;N;O;;N;13;13 RUE D'ARGENTEUIL;750000001;750005960;38173
48.8674661433, 2.34139044598;"{""type"": ""Point"", ""coordinates"": [2.341390445976034, 48.86746614331394]}";750004968;7;;;;2;74.88999939;O;O;;N;7;7 RUE NOTRE-DAME DES VICTOIRES;750000002;750005703;38296
48.8706512622, 2.34129369456;"{""type"": ""Point"", ""coordinates"": [2.34129369456343, 48.87065126220126]}";750004112;13;;;;2;79.11000061;N;O;;N;13;13 GAL FEYDEAU;750000002;750005806;28999
48.8637345911, 2.3361300158;"{""type"": ""Point"", ""coordinates"": [2.336130015796999, 48.86373459110376]}";750148113;2;;;;1;161.80999756;O;O;;N;2;2 RUE DE MONTPENSIER;750000001;750005684;29650
48.8713423168, 2.33920477384;"{""type"": ""Point"", ""coordinates"": [2.339204773835898, 48.87134231681857]}";750005369;19;;;;2;341.41000366;N;O;;N;19;19 PAS DES PRINCES;750000002;750005624;26451
48.8713694319, 2.33908830093;"{""type"": ""Point"", ""coordinates"": [2.339088300927878, 48.871369431908555]}";750005367;15;;;;2;341.72000122;N;O;;N;15;15 PAS DES PRINCES;750000002;750005624;26020
48.8679152125, 2.33787614107;"{""type"": ""Point"", ""coordinates"": [2.337876141071876, 48.86791521250639]}";750156296;69;b;;;2;70.73000336;O;O;;N;69b;69b RUE DE RICHELIEU;750000002;750005602;38964
48.8712422313, 2.33938779676;"{""type"": ""Point"", ""coordinates"": [2.339387796757439, 48.871242231308536]}";750005380;20;;;;2;160.86999512;N;O;;N;20;20 PAS DES PRINCES;750000002;750005624;43743
48.8652923992, 2.33880788335;"{""type"": ""Point"", ""coordinates"": [2.338807883352519, 48.86529239919081]}";750002905;33;;;;1;70.47000122;N;O;;N;33;33 RUE DE VALOIS;750000001;750005517;44076
48.8653913166, 2.33621955379;"{""type"": ""Point"", ""coordinates"": [2.336219553789322, 48.86539131655078]}";750001279;21;;;;1;49.75;N;O;;N;21;21 RUE MOLIERE;750000001;750005634;44698
48.8696283754, 2.33687619772;"{""type"": ""Point"", ""coordinates"": [2.336876197721279, 48.869628375436506]}";750004199;8;;;;2;304.51998901;O;O;;N;8;8 RUE DE GRAMONT;750000002;750005807;9990
48.8701706469, 2.33693331434;"{""type"": ""Point"", ""coordinates"": [2.336933314335696, 48.870170646929]}";750004202;16;;;;2;265.339996;N;O;N;N;16;16 RUE DE GRAMONT;750000002;750005807;12855
48.8686937589, 2.33592514217;"{""type"": ""Point"", ""coordinates"": [2.335925142167813, 48.86869375893552]}";750003791;86;;;;2;258.01000977;N;O;;N;86;86 PAS CHOISEUL;750000002;750005911;10340
48.8641245794, 2.33676231766;"{""type"": ""Point"", ""coordinates"": [2.33676231766301, 48.86412457941705]}";750001485;215;;;;1;159.92999268;O;O;;N;215;215 PER DE MONTPENSIER;750000001;750005683;39766
48.8647824097, 2.34118950086;"{""type"": ""Point"", ""coordinates"": [2.341189500864017, 48.864782409734815]}";750000841;5;;;;1;37.18999863;N;O;;N;5;5 RUE HEROLD;750000001;750005832;39820
48.8683528512, 2.33566000404;"{""type"": ""Point"", ""coordinates"": [2.335660004043655, 48.868352851236466]}";750003736;67;;;;2;71.56999969;N;O;;N;67;67 PAS CHOISEUL;750000002;750005911;40094
