Nom,Métier,Rue,Numéro,X,Y,de,à
Louis (P. M.),café de Mulhouse,Boulevard Montmartre,10,2.34197233624434,48.87183940717179,1855,1856
Louis (P.M.),café de Mulhouse,Boulevard Montmartre,10,2.34197233624434,48.87183940717179,1857,1857
Lourdin,café anglais,Boulevard des Italiens,13,2.3374851884386403,48.871365564478204,1849,1849
Lugot,café de Belfort,Rue Coquillière,34,2.34147099721944,48.8643286597879,1877,1877
Lugrin,café brasserie,Rue du Bouloi,7,2.3405561011222797,48.8635461651548,1861,1861
Mahieu,grand café de Mulhouse,Boulevard Montmartre,10,2.34197233624434,48.87183940717179,1870,1878
Mahieu (Duru success.),grand café de Mulhouse,Boulevard Montmartre,10,2.34197233624434,48.87183940717179,1879,1879
Maigret NC: et yve Massa,café Saint Thomas,Rue des Filles Saint Thomas,9,2.33892352506906,48.8688243083631,1894,1894
Maigret NCF et Vve Massa,café Saint Thomas,Rue des Filles Saint Thomas,9,2.33892352506906,48.8688243083631,1893,1893
Maigret et Ve Massa,café Saint Thomas,Rue des Filles Saint Thomas,9,2.33892352506906,48.8688243083631,1882,1882
Maigret et Vre Massa,café Saint Thomas,Rue des Filles Saint Thomas,9,2.33892352506906,48.8688243083631,1875,1875
Maigret et Vve Massa,café Saint Thomas,Rue des Filles Saint Thomas,9,2.33892352506906,48.8688243083631,1873,1888
Maigret et Yre Massa,café Saint Thomas,Rue des Filles Saint Thomas,9,2.33892352506906,48.8688243083631,1870,1870
Maigret et Yve Massa,café Saint Thomas,Rue des Filles Saint Thomas,9,2.33892352506906,48.8688243083631,1887,1887
Maigret et yve Massa,café Saint Thomas,Rue des Filles Saint Thomas,9,2.33892352506906,48.8688243083631,1871,1890
Maillochon,café du Vaudeville,Rue Vivienne,29,2.34016715898938,48.8692325453552,1894,1896
Maisonneuve,café brasserie,Rue Feydeau,1,2.34236686397784,48.8701277797089,1887,1890
Maisons (Paul),café Français,Rue du Quatre Septembre,13,2.33719041000835,48.86935661329479,1888,1890
Maissonneuve,café brasserie,Rue Feydeau,1,2.34236686397784,48.8701277797089,1886,1886
Maitre,café des Variétés,Boulevard Montmartre,9,2.3420477422575297,48.87148560227801,1886,1888
Malvoy,café estaminet,Rue Marsollier,7,2.33445910271829,48.8678056183755,1842,1842
Marchette jeune,café Minerve,Rue de Richelieu,8,2.33606739381189,48.8640097064462,1853,1853
Marchetti jeune,café Minerve,Rue de Richelieu,8,2.33606739381189,48.8640097064462,1854,1856
Marckert,café restaurant des Variétés,Boulevard Montmartre,9,2.3420477422575297,48.87148560227801,1883,1885
Marguin,café des Variétés,Boulevard Montmartre,11,2.34191973622164,48.871506291188794,1849,1850
Mariage,grand café de Mulhouse,Boulevard Montmartre,10,2.34197233624434,48.87183940717179,1863,1864
Martin-Guepet,café de Paris et restaurant,Boulevard des Italiens,24,2.3364709184961803,48.8715393359449,1853,1857
Martin-Guepet,grand café de Paris et restaurant,Boulevard des Italiens,16,2.3378541112830096,48.8717780036559,1848,1852
Masson et Vitry,café des Arcades,Place de la Bourse,11,2.34086982621725,48.868647074369704,1877,1887
Mazarin (Taverne),café restaurant,Boulevard Montmartre,16,2.3413811889097103,48.8719321316918,1914,1922
Meurier,café restaurant de Paris,Avenue de l'Opéra,41,2.33287432842689,48.8687993684336,1907,1907
Michaud (Alex.),café des Bouffes Parisiens,Rue Monsigny,6,2.33539936534366,48.8685308061459,1881,1882
Miritel,café brasserie,Rue de Richelieu,10,2.33617084378992,48.86420475950379,1893,1894
Morel,café brasserie,Rue Coquillière,31,2.34141118008689,48.8642413243104,1884,1886
Mougeot,café des Nouveautés,Boulevard des Italiens,30,2.33560501229466,48.8713913208604,1894,1898
Mourier,café restaurant de Paris,Avenue de l'Opéra,41,2.33287432842689,48.8687993684336,1900,1922
Mourier *,café restaurant de Paris,Avenue de l'Opéra,41,2.33287432842689,48.8687993684336,1921,1921
Nabal,café Français,Rue de Richelieu,27,2.3363448927533104,48.8649182444003,1848,1848
Neuvy,café limonadier,Rue Vivienne,23,2.33986927527164,48.868687234217795,1914,1922
Nicolas (Ch.),café du Vaudeville et tabac,Rue Vivienne,29,2.34016715898938,48.8692325453552,1914,1914
Nigrin,café brasserie,Rue de Richelieu,26,2.33661161334009,48.865042982058704,1883,1888
Noel-Peter's,café restaurant,Passage des Princes,24,2.3395385253167595,48.8712067243389,1871,1871
Norget (Désiré) NC.,cafés et comestibles,Avenue de l'Opéra,18,2.3346861645973,48.865640797572006,1896,1897
Nouvelles Plantations de Calédonie,cafés,Rue Monsigny,12,2.3356620319443997,48.869008683140294,1914,1914
Noël-Peter's,café restaurant,Passage des Princes,24,2.3395385253167595,48.8712067243389,1882,1883
Noël-Peter's NC,café restaurant,Passage des Princes,24,2.3395385253167595,48.8712067243389,1875,1875
Noël-Peter's NC),café restaurant,Passage des Princes,24,2.3395385253167595,48.8712067243389,1878,1881
Noël-Peter's NC.,café restaurant,Passage des Princes,24,2.3395385253167595,48.8712067243389,1874,1880
Noël-Peter's NCS,café restaurant,Passage des Princes,24,2.3395385253167595,48.8712067243389,1873,1873
Noël-Peters. NC),café restaurant,Passage des Princes,24,2.3395385253167595,48.8712067243389,1877,1877
Odoul et Chatenet,café Garen,Boulevard Montmartre,12,2.3418123218643396,48.8718654221604,1883,1886
Ollivier,grand café de l'Univers et de la Comédie Française,Rue de Rohan,1,2.3352305339710098,48.862959346816204,1859,1859
Orel,café du Théâtre,Rue de Beaujolais,26,2.33761336592461,48.866401691503704,1922,1922
Ory,grand café de Mulhouse,Boulevard Montmartre,10,2.34197233624434,48.87183940717179,1861,1861
Padin (E.),essence de café,Rue Chabanais,5,2.33673171418271,48.8672852342203,1907,1907
Page (J.-A.),café de Suède,Boulevard Montmartre,5,2.34235123190337,48.8714371876647,1881,1881
Paillard,cafés en gros,Rue Saint Honoré,150,2.34033923610895,48.861972117712,1862,1862
Palais des Cafés et Thés,cafés et thés,Rue du Quatre Septembre,20,2.33573672566471,48.8698358460025,1914,1914
Panloup,café brasserie,Rue Notre Dame des Victoires,42,2.34219996072593,48.869020285723295,1870,1873
Papin (E.),essence de café,Rue Chabanais,5,2.33673171418271,48.8672852342203,1890,1922
Papin E.),essence de café,Rue Chabanais,5,2.33673171418271,48.8672852342203,1921,1921
Paris (L.),café restaurant,Rue de Grammont,26,2.33701592438433,48.8708416767978,1914,1914
Pasquier (Eug.),café restaurant,Rue Saint Honoré,141,2.34068109265709,48.86175279075189,1856,1856
Patin,cafés et chocolats,Rue Coquillière,22,2.3422124733644902,48.8640553979848,1851,1863
Patin,cafés et comestibles,Rue Coquillière,22,2.3422124733644902,48.8640553979848,1874,1874
Patin NC,cafés et comestibles,Rue Coquillière,22,2.3422124733644902,48.8640553979848,1870,1880
Patin NC.,cafés et comestibles,Rue Coquillière,22,2.3422124733644902,48.8640553979848,1878,1879
Patin NCH,cafés et comestibles,Rue Coquillière,22,2.3422124733644902,48.8640553979848,1873,1875
Patin NCI,cafés et comestibles,Rue Coquillière,22,2.3422124733644902,48.8640553979848,1876,1876
Pennene,café des Variétés,Boulevard Montmartre,7,2.34214234887455,48.871470578979505,1845,1846
Penseyre (I.),café restaurant Mazarin,Boulevard Montmartre,16,2.3413811889097103,48.8719321316918,1888,1888
Penseyre (J.),café restaurant Mazarin,Boulevard Montmartre,16,2.3413811889097103,48.8719321316918,1882,1890
Percheron,café Tortoni,Boulevard des Italiens,22,2.33690229966879,48.8716155218567,1850,1851
Perrotet,café brasserie,Rue Notre Dame des Victoires,20,2.341556064423,48.8674547236555,1870,1870
