N_SQ_VO;C_COINSEE;C_DESI;C_LIAISON;L_VOIE;L_COURTMIN;L_LONGMIN;C_VOIE;B_FANTOIR;B_OFF;C_VOIE_VP;Geometry;OBJECTID;C_DOMOFF;N_SQ_CO;LENGTH;Geometry X Y
750006010;75056;RUE;DE L';AMIRAL DE COLIGNY;R. de l'Amiral de Coligny;Rue de l'Amiral de Coligny;750560284;O;O;0289;"{""type"": ""LineString"", ""coordinates"": [[2.339856449190159, 48.858969337262664], [2.340117883362432, 48.85949088147532], [2.340352198703103, 48.85996074533009], [2.340580517666125, 48.86039446659292], [2.340756915756818, 48.86067658936969], [2.3407934385715032, 48.86081414092001], [2.340803504252273, 48.860915435159285]]}";735;P;750001537;227.89092688;48.8599385097, 2.34034871497
750005595;75056;RUE;;REAUMUR;R. Réaumur;Rue Réaumur;750568073;O;O;8073;"{""type"": ""LineString"", ""coordinates"": [[2.359631848936223, 48.864679707126605], [2.359439373717705, 48.86473976324868], [2.358269850554179, 48.86498792328626], [2.357136026132681, 48.86523049706564], [2.356631741931086, 48.86534955302959], [2.35647067019103, 48.86538702698221], [2.356153606591994, 48.86541807132674], [2.356028668325747, 48.865455268706356], [2.355678355162119, 48.865548690327486], [2.355561966592454, 48.86559498693801], [2.354048692168885, 48.8659269185822], [2.353773749701137, 48.86597699642377], [2.353460263941674, 48.86604565810797], [2.353237959258061, 48.86608597878958], [2.3529789890048303, 48.866137365124175], [2.352726018562306, 48.86619108746449], [2.352522764280649, 48.86621881471425], [2.352334156347016, 48.866271717952365], [2.352157785622686, 48.86631319892098], [2.352030523441081, 48.86634503294901], [2.351938888484672, 48.866363678429614], [2.351270064069456, 48.8665133166548], [2.351143167648441, 48.866541749506396], [2.350998415996481, 48.86657171411453], [2.350430172793476, 48.86668950046866], [2.349567242430478, 48.86687611237559], [2.349453838643543, 48.86690049507191], [2.349350793899973, 48.86692289876252], [2.348078410386818, 48.86719976088026], [2.347651367684977, 48.86729542288132], [2.34742890299249, 48.86734108299936], [2.347326674086096, 48.867363403958514], [2.34720822474946, 48.86738894504564], [2.346527648064251, 48.86753576946823], [2.346369123970559, 48.867569955740855], [2.346211554090321, 48.86760478015326], [2.345629658385397, 48.867733684853704], [2.345496759032282, 48.86776320128041], [2.345353634730643, 48.86779027118092], [2.343757185920649, 48.86813246926045], [2.343601246619008, 48.86816603110482], [2.343415456301491, 48.868206950197354], [2.3422619942254492, 48.86846168902014], [2.341992779065458, 48.86852627049165], [2.341902076975534, 48.868548064716215]]}";5904;P;750001537;1371.03532239;48.8666175632, 2.35076969089
750005525;75056;RUE;;SAINT-ROCH;R. Saint-Roch;Rue Saint-Roch;750568740;O;O;8963;"{""type"": ""LineString"", ""coordinates"": [[2.331353647306207, 48.8639906179883], [2.331944969439363, 48.864912849327055], [2.332439985746312, 48.86568205388629], [2.332441184661656, 48.86568391502427], [2.3330899581205182, 48.86664709550479], [2.333474869568337, 48.86721854187112], [2.33367165702529, 48.86751068516227], [2.333675322766867, 48.86751611692344]]}";5927;P;750001537;427.43804692;48.8657598018, 2.33250469932
750004686;75056;PAS;;JOUFFROY;Pas. Jouffroy;Passage Jouffroy;750565030;O;O;4911;"{""type"": ""LineString"", ""coordinates"": [[2.341859335574212, 48.871685618445255], [2.342220716359015, 48.87260923720136], [2.342087800914677, 48.87262992718675], [2.342236850620049, 48.87306167085408]]}";4318;V;750001537;165.32383865;48.8723890427, 2.34208501864
750005791;75056;RUE;DE;MARENGO;R. de Marengo;Rue de Marengo;750566053;O;O;5979;"{""type"": ""LineString"", ""coordinates"": [[2.339123460309616, 48.86147794709616], [2.33946586717134, 48.86213531749524]]}";1255;P;750001537;77.29290755;48.8618066323, 2.33929466374
750005774;75056;RUE;;JEAN-JACQUES ROUSSEAU;R. Jean-Jacques Rousseau;Rue Jean-Jacques Rousseau;750564901;O;O;4808;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.3396869374353, 48.86207298234951], [2.340311472285447, 48.862394903641345], [2.340750097463656, 48.86263040814904], [2.341641534008001, 48.863092076702685]], [[2.342747464615635, 48.86361259337508], [2.342836507159259, 48.86370511515436], [2.343399647642274, 48.86399186972455], [2.34437087505239, 48.86449019397989], [2.344855612093423, 48.8647468029036], [2.345013235278329, 48.864830397304864]]]}";215;P;750001537;397.84203294;48.8634729395, 2.34239272855
750004906;75056;RUE;DE LA;CHAUSSEE D'ANTIN;R. de la Chaussée d'Antin;Rue de la Chaussée d'Antin;750561949;O;O;1940;"{""type"": ""LineString"", ""coordinates"": [[2.334150445666464, 48.870970071095634], [2.333854601764302, 48.87160522316757], [2.333804268823914, 48.87184263067682], [2.333386777428645, 48.87276734442517], [2.333146418907137, 48.87296041230498], [2.3332265662032903, 48.87313523353311], [2.332708421734586, 48.874290066331824], [2.332576303048392, 48.87460139123932], [2.332290749847344, 48.875260369850984], [2.331853574240107, 48.87626556269162]]}";222;P;750001537;618.28135992;48.8736055842, 2.33300681056
750005841;75056;RUE;;FEYDEAU;R. Feydeau;Rue Feydeau;750563635;O;O;3649;"{""type"": ""LineString"", ""coordinates"": [[2.342367023099195, 48.87022035065911], [2.342297074115493, 48.870178673075884], [2.3415320383178653, 48.87005514947695], [2.3411605644153752, 48.87000669391971], [2.340742196855171, 48.86994898641413], [2.340650181611135, 48.86993621075524], [2.340556392700943, 48.86992182622426], [2.34040903031402, 48.86989898937908], [2.339591113899589, 48.86979379983337], [2.339490647447561, 48.86979560084312], [2.339121636157655, 48.869864944691614], [2.339043254196159, 48.869879784506125]]}";636;P;750001537;251.51241823;48.8699591861, 2.3407102031
750005932;75056;BD;;POISSONNIERE;Bd. Poissonnière;Boulevard Poissonnière;750567560;O;O;7518;"{""type"": ""LineString"", ""coordinates"": [[2.347880285119578, 48.870704155718556], [2.346737816736926, 48.87089050433632], [2.34595999007132, 48.87101736968127], [2.345712041416077, 48.87105781232276], [2.343068936821082, 48.871488883721774]]}";4010;P;750001537;363.5554898;48.8710965288, 2.34547461246
750004711;75056;BD;;HAUSSMANN;Bd. Haussmann;Boulevard Haussmann;750564485;O;O;4437;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.340044233305955, 48.87198082373339], [2.339741009909709, 48.87202888952441], [2.339216342151989, 48.87211205932899], [2.338304741846588, 48.872243813068735], [2.337423674664818, 48.87236225857967], [2.335701645703189, 48.87261638624828], [2.335235122036326, 48.87267626441848], [2.333146418907137, 48.87296041230498], [2.331151801951056, 48.87321546128025], [2.329685938359173, 48.873404492202184], [2.32835361139283, 48.87358894574269], [2.327712017262223, 48.873680534667706], [2.327583379132658, 48.87345688379484]], [[2.327712017262223, 48.873680534667706], [2.327338320131886, 48.87371217850733], [2.327053127970173, 48.87373632724101], [2.326768743184394, 48.8738163396199], [2.325784539191611, 48.873944038301985], [2.324597626378072, 48.87410129418425], [2.3238963060867732, 48.87419879138069], [2.32273240883668, 48.874350005508745], [2.320402546589035, 48.87466752311416]], [[2.319343470257452, 48.87481177551919], [2.31847950689152, 48.87491973502833], [2.318408732352466, 48.8749323140323], [2.316333770627141, 48.87521946598471], [2.315797802616616, 48.87531739149743], [2.315628747861204, 48.87528850242578], [2.314788162745797, 48.8752441830965], [2.314356118547549, 48.8752233267472], [2.312834392510739, 48.875173112710705], [2.311939654206406, 48.87514153977778], [2.310596799573003, 48.87509422018128], [2.309347755293459, 48.875026385821855], [2.30913602983219, 48.8750274151162], [2.309018780534182, 48.87503260297051], [2.308667732379391, 48.875018857684836], [2.30640855012801, 48.87493028304607]], [[2.30598592237093, 48.87490385800714], [2.305905916794329, 48.87482581609619], [2.305389735602539, 48.87478383285294], [2.305242316294194, 48.87485283903703], [2.305436002942784, 48.87491746907204], [2.305887600932322, 48.87494467739084], [2.30598592237093, 48.87490385800714]], [[2.30640855012801, 48.87493028304607], [2.306351001677389, 48.87488861319022], [2.30610025353546, 48.87487752169902], [2.30598592237093, 48.87490385800714]], [[2.30640855012801, 48.87493028304607], [2.306336094148007, 48.87496702575974], [2.306087193326967, 48.874963282669725], [2.30598592237093, 48.87490385800714]]]}";4149;P;750001537;2643.30579718;48.8740889175, 2.32219056458
750005885;75056;GAL;DE LA;COUR D'HONNEUR;Gal. de la Cour d'Honneur;Galerie de la Cour d'Honneur;750562393;O;O;2386;"{""type"": ""LineString"", ""coordinates"": [[2.336744707634789, 48.863920489329075], [2.336747870410229, 48.863916073977116], [2.337607990268523, 48.86372114125976], [2.33764112513817, 48.86373570969977]]}";2321;V;750001537;70.18479405;48.8638156594, 2.33719289615
750005640;75056;RUE;;MONTESQUIEU;R. Montesquieu;Rue Montesquieu;750566488;O;O;6417;"{""type"": ""LineString"", ""coordinates"": [[2.339535670699453, 48.863049104355646], [2.339358233672607, 48.86301390304165], [2.338473502076247, 48.8631626891309]]}";2323;P;750001537;80.57666093;48.8630787664, 2.33900498296
